Id,AccountNumber,SubNumber,ParentId,Name_en,Name_fr,Name_ar,UpdateDate,Status,TimeStamp
894,222,2,22,Agencement terrains,Agencement terrains,Agencement terrains,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!h'
895,223,3,22,Construction,Constructions,Construction,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!i'
896,224,4,22,Technical Installations and Industrial T,Matériels et outillages industriels,Technical Installations and Industrial T,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!j'
897,225,5,22,Transportation Equipment,Matériels de transport,Transportation Equipment,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!k'
898,226,6,22,Other Tangible Fixed Assets,Autres Immobilisations Corporelles,Other Tangible Fixed Assets,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!l'
899,227,7,22,Tangible Fixed Assets in Progress,Immobilisat. corporelles en cours,Tangible Fixed Assets in Progress,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!m'
900,251,1,25,Equity Participation's,Titres de participations,Equity Participation's,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!n'
901,253,3,25,Other Blocked Securities,Autres titres immobilisés,Other Blocked Securities,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!o'
902,255,5,25,Long and Medium Term Loans,Prêts à long et moyen terme,Long and Medium Term Loans,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!p'
903,259,9,25,Other Blocked Term Receivables,Autres créances immobilières,Other Blocked Term Receivables,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!q'
904,281,1,28,Amortization's of Other Intangible Fixed,Amort. des autres immobilis. incorp,Amortization's of Other Intangible Fixed,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!r'
905,282,2,28,Depreciation of Tangible Fixed Assets,Amortissement des immob. corp.,Depreciation of Tangible Fixed Assets,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!s'
906,311,1,31,Raw Materials,Matières premières,Raw Materials,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!t'
907,315,5,31,Other Consumable Supplies and Materials,Autres approvisionnement,Other Consumable Supplies and Materials,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!u'
908,331,1,33,Products In Process,Produits en cours,Products In Process,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!v'
909,332,2,33,Works In Progress,Travaux en cours,Works In Progress,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!w'
910,335,5,33,Studies In Progress,Etudes en cours,Studies In Progress,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!x'
911,351,1,35,Semi-Finished Goods,Stocks de produits intermédiaires,Semi-Finished Goods,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!y'
912,370,0,37,Merchandise for Sale,Marchandises,Merchandise for Sale,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!z'
913,371,1,37,Merchandise for Sale,Marchandises (ou groupe),Merchandise for Sale,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!{'
914,401,1,40,Accounts Payable ( Suppliers ),Fournisseurs d'exploitation,Accounts Payable ( Suppliers ),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!|'
915,403,3,40,Fixed Assets Suppliers,Fournisseurs d'immobilisations,Fixed Assets Suppliers,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!}'
916,409,9,40,Advance payments on account of operation,Avances et acomptes versés,Advance payments on account of operation,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!~'
917,411,1,41,Invoices,Factures clients,Invoices,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x7f'
918,413,3,41,Notes Receivables (Clients),Effets à recevoir clients,Notes Receivables (Clients),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x80'
919,418,9,41,Invoices Under Preparation,Factures à établir,Invoices Under Preparation,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x81'
920,421,1,42,Payments due to Personnel,Rénumérations dues au personnel,Payments due to Personnel,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x82'
921,431,1,43,Accounts Payable to Social Security,Dettes aux organismes sociaux,Accounts Payable to Social Security,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x83'
922,438,8,43,Accounts Receivables from Social Securit,Créances sur organismes sociaux,Accounts Receivables from Social Securit,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x84'
923,441,1,44,Taxes Due ( Operational ),Dettes fiscales d'exploitation,Taxes Due ( Operational ),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x85'
924,443,3,44,Taxes Due ( Non-Operations),Dettes fiscales hors exploitation,Taxes Due ( Non-Operations),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x86'
925,451,1,45,Partners Current Account,Comptes courants associés,Partners Current Account,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x87'
926,453,3,45,Dividends Payables,Dividendes à payer,Dividends Payables,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x88'
927,459,9,45,Shareholders Receivables,Créances sur les associés,Shareholders Receivables,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x89'
928,461,1,46,Misc. Operating Accounts Payables,Créditeurs divers d'exploitation,Misc. Operating Accounts Payables,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x8a'
